player_name,round_2_in,round_2_out,round_3_in,round_3_out,round_4_in,round_4_out,round_5_in,round_5_out,round_6_in,round_6_out
Oscar McInerney,71,32,47,44,45,83,219,32,21,77
Sam Draper,283,89,168,155,43,997,231,130,758,33
Nick Coffield,2,22,5,16,3,9,1,9,0,3
Malcolm Rosas,0,6,1,2,0,3,1,2,0,3
Liam Henry,2,22,1,11,0,3,0,6,1,2
Joel Jeffrey,6,38,112,4,19,38,43,34,191,2
James Peatling,57,784,10,2362,35,333,1119,25,108,538
Nick Blakey,150,34,26,515,131,23,21,144,26,201
Jacob Koschitzke,1,7,0,3,0,6,0,4,0,3
Bailey Scott,0,8,2,3,2,19,1,30,0,7
Keidean Coleman,2,1067,4,411,1,255,2,188,4,64
Caleb Graham,2,46,6,28,2,21,1,19,2,11
Sam Walsh,33,292,21,176,14,334,949,15,403,11
Xavier Duursma,39,2,3,23,2,40,31,10,5,14
Thomas Berry,0,0,1,3,0,2,0,1,0,1
Jye Caldwell,1597,1,432,74,14,978,57,724,1,318
Bailey J. Williams,62,61,84,39,221,19,86,37,52,38
Zak Butters,1,321,4,120,85,47,125,3,111,9
James Rowbottom,5,20,3,123,2,15,15,14,8,6
Rhylee West,19,1,3,15,2,11,4,3,9,0
Bailey Smith,2794,1930,2224,437,2185,25,1436,24,424,10
Jack Ross,432,1,5,219,22,30,102,28,3,80
Xavier O'Halloran,28,322,54,42,34,247,15,208,5,113
Lachlan Sholl,2,1,5,0,2,13,2,9,4,7
Max King,0,35,1,22,1,19,1,9,0,7
Ben King,86,30,260,5,311,7,62,62,31,46
Bobby Hill,60,177,10,282,29,78,21,208,33,49
Jordan Clark,31,127,101,140,66,103,156,80,46,100
Chayce Jones,0,11,0,3,0,7,1,1,0,1
Sam Wicks,106,818,25,1085,12,460,18,312,30,464
Dylan Moore,119,62,53,1159,9,2248,50,339,111,139
Riley Garcia,0,50,0,29,0,8,0,6,0,5
Jack Petruccelle,2,6,2,10,1,13,0,7,0,2
Harry Sharp,4,24,1,22,17,15,14,37,1,18
Mark O'Connor,21,47,40,79,28,33,55,24,27,11
Conor Nash,57,2,27,10,12,46,54,10,2,45
Brynn Teakle,2,7,0,4,2,4,0,5,0,1
Wil Powell,1,109,8,7,3,46,10,18,9,11
Connor Idun,1,159,8,20,32,11,60,10,7,19
Isaac Quaynor,150,172,17,702,47,65,13,327,22,97
Joel Amartey,32,123,11,221,11,52,21,32,3,241
Jake Riccardi,0,5,0,3,0,3,26,2,2,4
Toby Bedford,26,446,50,73,360,18,272,65,22,242
Matthew Cottrell,33,48,93,21,26,222,61,63,43,18
Jack Henderson,436,177,1625,34,81,75,79,251,10,861
Tom McCartin,207,35,21,198,73,32,30,95,5,73
Riley Bice,1803,249,824,456,10794,52,33200,12,3582,12
Nick Murray,276,12,68,105,6,319,3,128,2,42
Joe Richards,15,28,173,3,25,25,8,17,29,13
Ed Richards,65,2,79,7,55,22,48,47,28,36
Liam Stocker,20,15,1,40,5,15,7,1,5,3
Riley Thilthorpe,133,15,235,8,432,3,818,3,82,35
Kieren Briggs,1,94,49,42,374,12,1678,14,1744,16
Connor Budarick,0,13,1,0,2,2,1,10,3,6
Rhyan Mansell,4,23,22,3,0,105,0,48,0,6
Corey Durdin,1,21,0,12,1,8,21,0,372,0
Kysaiah Pickett,11,80,8,85,27,35,293,5,339,6
Harry Schoenberg,2,0,1,3,0,2,0,3,0,1
Will Day,358,1421,113,21713,50,14968,24,17867,3,2162
Leek Aleer,1,84,8,43,4,68,3,56,1,18
Mykelti Lefau,0,21,0,12,1,8,0,7,0,2
Kieran Strachan,3,47,0,35,0,11,0,10,0,10
Luke Beecken,10,33,3,32,6,27,2,31,5,4
Oskar Baker,2,12,3,10,6,8,19,13,9,4
Charlie Ballard,0,110,1,43,0,41,0,22,0,5
Harrison Petty,40,0,1,16,2,13,0,12,5,6
Lachlan McNeil,2,8,3,4,2,3,5,4,12,2
James Borlase,3,5,21,10,22,2,3,14,2,5
Miles Bergman,53,154,149,54,437,18,1382,14,25,553
Dylan Williams,4,4,2,1,1,4,1,6,0,2
Charlie Dean,0,5,2,4,0,6,0,2,0,1
Noah Anderson,28,473,534,11,692,5,580,23,109,46
Matt Rowell,34,200,330,6,3095,4,450,72,195,48
Thomson Dow,125,6,21,28,8,21,37,19,14,15
Sam De Koning,30446,5,3393,225,678,5762,402,6075,350,16752
Brodie Kemp,7,80,1,85,112,1,10,43,4,76
Lachie Ash,11,4847,289,111,722,14,463,28,1602,3
Hayden Young,0,109,0,50,3,33,105,12,63,3
Sam Flanders,6,604,106,290,80,40,158,31,11,77
Jamarra Ugle-Hagan,0,48,4,53,0,37,1,23,0,15
Bruce Reville,3,17,4,5,16,7,22,4,1,8
Trent Rivers,69,118,22,455,51,88,14,854,16,112
Jeremy Sharp,5,47,7,51,8,58,12,27,7,14
Deven Robertson,15,52,16,69,12,72,7,51,5,22
Jaxon Prior,1254,522,582,326,59,1654,177,854,30,3449
Jack Buller,3,1,17,8,0,11,5,15,7,9
Luke Jackson,575,98,1641,51,1457,50,81,5573,3,1324
Brandon Walker,13,17,2,132,2,100,0,46,0,12
Caleb Serong,44,369,126,662,113,159,2680,27,237,82
Finn Maginness,103,55,37,114,36,187,72,45,8,97
Tom Green,20,167,491,19,528,25,1880,18,340,9
Maurice Rioli,1,57,0,36,2,18,5,11,2,9
Jack Buckley,1,71,6,5,16,7,10,27,4,14
Mitch Georgiades,9,59,49,7,29,9,71,12,26,8
Sam Butler,0,6,0,7,0,2,0,5,1,1
Callum Jamieson,0,17,1,11,0,15,0,9,0,3
Harry Edwards,22,96,29,55,12,66,5,48,6,17
Isaiah Dudley,2,3,194,3,438,7,675,9,95,24
Lachie Jones,52,142,25,167,17,151,36,24,21,15
Caleb Poulter,1,15,0,19,0,15,0,15,0,6
Jason Horne-Francis,192,577,83,4782,59,9348,1011,191,417,114
Tom Powell,1000,3,3282,4,68,127,164,91,18,754
Harrison Jones,65,7,10,65,0,150,3,35,5,26
Cody Weightman,1,41,0,30,0,19,1,11,0,8
James Blanck,2,22,1,20,3,14,6,14,11,1
Justin McInerney,0,40,0,31,1,14,0,22,0,9
Ben Jepson,3,55,2,35,3,36,7,20,19,6
Nick Bryan,253,34,174,56,32,330,153,57,8,451
Josh Worrell,304,0,447,3,55,23,30,105,7,136
Hugo Ralphsmith,0,69,0,31,1,22,9,4,15,3
Ryan Byrnes,1,4,0,4,5,2,9,3,24,0
Chad Warner,48,316,39,461,144,33,55,325,158,116
Brandon Ryan,0,3,2,5,0,2,0,3,1,3
Kallan Dawson,4,7,2,5,1,11,1,6,0,1
Matt Roberts,292,289,71,2657,839,59,88,887,84,1378
Luke Pedlar,1,5,0,3,1,4,0,7,1,1
Samson Ryan,5,118,4,84,3,90,6,73,2,26
Tanner Bruhn,0,49,1,27,0,10,0,12,0,2
Sam Berry,0,25,3,26,2,14,2,12,0,10
Zach Reid,1833,72,558,374,200,1387,420,576,641,128
Josh Treacy,11,239,31,21,21,39,100,10,106,4
Jake Bowey,120,7,2244,3,2212,7,210,129,242,34
Bailey Laurie,3,33,7,38,4,24,2,24,1,5
Finlay Macrae,3,20,2,15,2,28,1,22,0,5
Will Phillips,5,43,4,25,1,35,0,25,1,8
Eddie Ford,0,2,0,5,0,2,0,3,0,0
Jack Ginnivan,59,42,21,149,3,341,30,72,3,88
Oliver Henry,75,39,17,56,12,70,28,68,8,61
Elijah Hollands,2,41,0,19,1,11,1,5,0,2
Wil Parker,2,23,0,24,0,12,0,16,1,6
Ollie Lord,3,33,1,25,10,20,169,4,13,7
Errol Gulden,1,159,2,57,1,51,0,41,0,20
Braeden Campbell,45,15,13,113,54,17,54,32,21,16
Andy Moniz-Wakefield,0,16,0,9,0,3,0,6,0,0
Sam Banks,15,61,4,174,7,102,24,12,2,10
Jye Menzie,9,13,14,8,2,7,7,2,139,0
Nathan O'Driscoll,903,91,2845,92,3060,23,126,28951,8,4630
Heath Chapman,2,79,9,14,6,14,11,13,50,2
Jacob Blight,51,167,108,38,607,4,38,195,14,80
Logan McDonald,0,8,2,1,1,4,1,4,0,3
Jack Carroll,4,43,3,27,3,29,1,44,0,11
Sam Clohesy,0,109,6,18,33,2,4,38,5,10
Alex Davies,0,15,0,6,0,19,0,9,0,1
Reef McInnes,82,64,2,811,2,299,1,208,10,70
Sandy Brock,7,15,3,11,946,0,1893,11,190,23
James Jordon,100,74,17,234,27,46,26,45,11,124
Jase Burgoyne,4,87,111,3,668,1,52,97,84,38
Lawson Humphries,570,17,988,6,155,34,963,7,56,162
Tyler Brockman,9,19,20,12,8,9,4,36,2,14
Tom Fullarton,1,6,2,6,1,1,1,0,2,2
Sam Sturt,0,8,0,5,0,3,0,5,0,1
Matthew Owies,13,23,20,18,3,37,4,48,5,31
Mark Keane,36,5,1,35,5,41,13,31,9,4
Jordan Croft,1,17,4,5,9,10,5,14,6,1
Lachlan Charleson,10,160,9,105,16,101,26,106,35,29
