player_id,round_2_in,round_2_out,round_3_in,round_3_out,round_4_in,round_4_out,round_5_in,round_5_out,round_6_in,round_6_out
1002232,57,164,59,652,188,101,5878,27,1005,11
1002235,59,163,12,160,17,129,29,51,9,56
1002239,384,57,1765,12,478,103,2474,42,536,64
1002245,2,54,4,29,4,38,5,18,1,8
1002251,2,1387,3,137,11,188,2,603,0,259
1002253,93,11,3186,0,57,132,12,860,5,1044
1002256,0,16,0,9,0,5,0,1,0,3
1002264,1,11,0,14,0,12,0,10,0,2
1002267,12,111,19,120,10,180,45,62,52,16
1002282,17,15,12,21,9,26,32,17,12,10
1002312,141,40,67,43,101,34,157,42,216,14
1002347,8,36,22,7,30,4,33,16,15,7
1002401,33,305,3,289,5,100,2,107,1,31
1002403,19,8,20,1,31,3,25,7,2,18
1002404,98,6,17,79,7,85,7,58,9,13
1002795,0,6,3,2,0,1,1,6,1,1
1002947,57,1,314,0,53,36,145,8,16,25
1003130,200,48,33,682,78,99,37,200,40,79
1003203,2,4,0,1,1,0,2,3,0,0
1003520,1,2,1,8,1,9,0,1,0,1
1004034,0,55,0,34,1,24,0,16,0,6
1004095,12,78,2,395,0,127,0,65,0,20
1004364,8,20,36,1,7,23,0,25,0,3
1004385,19,32,7,69,1,94,6,56,7,27
1004530,3,18,6,4,9,13,7,12,33,1
1004592,28,722,68,205,77,153,427,70,250,35
1004757,14,12,1,63,7,13,7,29,12,12
1004819,2,11,1,15,0,23,0,10,0,4
1004848,3,6,1,5,13,3,33,3,23,3
1004863,13,10,25,14,62,0,25,7,21,6
1004870,223,8,54,11,12,31,758,1,76,35
1004912,4347,10,3592,36,2680,11,1609,47,349,770
1004938,112,10,19,133,60,12,127,18,3,90
1004965,652,59,511,115,98,1263,97,2600,48,4387
1004985,36,217,4,215,16,158,3,114,1,32
1004995,2,37,3,19,7,13,1,22,0,7
1004998,1,14,0,12,0,6,0,4,0,2
1005000,180,1,48,18,20,55,2,94,0,59
1005053,50,16,116,11,83,11,19,43,12,35
1005054,44,34,9,440,40,37,113,35,102,118
1005144,26,305,66,50,6,470,64,75,10,93
1005199,0,7,0,1,3,5,0,4,2,3
1005247,70,11396,553,889,347,1126,78,3292,53,513
1005326,13,17,177,3,37,32,19,32,9,21
1005330,8,3,200,0,17,22,2,32,8,26
1005521,71,32,47,44,45,83,219,32,21,77
1005577,283,89,168,155,43,997,231,130,758,33
1005717,2,22,5,16,3,9,1,9,0,3
1005986,0,6,1,2,0,3,1,2,0,3
1005988,2,22,1,11,0,3,0,6,1,2
1005992,6,38,112,4,19,38,43,34,191,2
1006013,57,784,10,2362,35,333,1119,25,108,538
1006028,150,34,26,515,131,23,21,144,26,201
1006030,1,7,0,3,0,6,0,4,0,3
1006058,0,8,2,3,2,19,1,30,0,7
1006059,2,1067,4,411,1,255,2,188,4,64
1006087,2,46,6,28,2,21,1,19,2,11
1006094,33,292,21,176,14,334,949,15,403,11
1006096,39,2,3,23,2,40,31,10,5,14
1006100,0,0,1,3,0,2,0,1,0,1
1006103,1597,1,432,74,14,978,57,724,1,318
1006114,62,61,84,39,221,19,86,37,52,38
1006121,1,321,4,120,85,47,125,3,111,9
1006126,5,20,3,123,2,15,15,14,8,6
1006127,19,1,3,15,2,11,4,3,9,0
1006130,2794,1930,2224,437,2185,25,1436,24,424,10
1006133,432,1,5,219,22,30,102,28,3,80
1006135,28,322,54,42,34,247,15,208,5,113
1006136,2,1,5,0,2,13,2,9,4,7
1006143,0,35,1,22,1,19,1,9,0,7
